"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2463","@yogi_adityanath @narendramodi Sir bank is threatening us about NPA  as builder has stopped playing EMI's. Pls #TakeActionAgainstAmrapali",FALSE,1,"yogi_adityanath",2017-06-28 22:44:27,FALSE,NA,"880195215289532419","391210974","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VinodKTiwari300",3,FALSE,FALSE,NA,NA
"2464","Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/j8XOqldSSx https://t.co/CdRnlC4XKm #klout #maga",FALSE,1,NA,2017-06-28 22:44:11,FALSE,NA,"880195147425882112",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","EarlOfCornwall",1,FALSE,FALSE,NA,NA
"2465","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:43:59,FALSE,NA,"880195097228230657",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","llstudent08",66,TRUE,FALSE,NA,NA
"2466","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-28 22:43:04,FALSE,NA,"880194870027067393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChanoTheQasaaro",123,TRUE,FALSE,NA,NA
"2467","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:42:29,FALSE,NA,"880194721586573312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dalogodo",66,TRUE,FALSE,NA,NA
"2468","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:42:27,FALSE,NA,"880194712006774784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeaScott1",66,TRUE,FALSE,NA,NA
"2469","@CNN   DAM(N):  TRUMP WON'T ADMIT TO BELIEVING ANYTHING BAD ABOUT RUSSIA BECAUSE ITS ABOUT THE ONLY PLACE HE CAN GO FOR LOANS. NO US BANK $$",FALSE,0,"CNN",2017-06-28 22:42:14,FALSE,NA,"880194659699507200","759251","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","randalljanzen",0,FALSE,FALSE,NA,NA
"2470","Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/qWqkUQOA6w https://t.co/QufoWo19LC",FALSE,0,NA,2017-06-28 22:42:14,FALSE,NA,"880194658537746432",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","mlnangalama",0,FALSE,FALSE,NA,NA
"2471","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:42:07,FALSE,NA,"880194627621470213",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A_Nuricumbo",66,TRUE,FALSE,NA,NA
"2472","RT Reuters ""Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/dYrMFbwUIu https://t.co/XtvgfOacoO""",FALSE,0,NA,2017-06-28 22:42:04,FALSE,NA,"880194616913416192",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","superonom",0,FALSE,FALSE,NA,NA
